#{"t_start": 1685981011.9570131, "env_id": "None"}
r,l,t
1818.0,911,17.255974
2629.0,2650,379.011912
2178.0,2750,380.652745
2918.0,3298,390.351474
1361.0,1239,401.623311
2568.0,3213,739.857734
1372.0,2671,760.816648
2253.0,1729,767.596332
1942.0,2098,1090.079778
1739.0,1095,1093.322543
1898.0,995,1106.586514
1537.0,1524,1106.994918
2863.0,4449,1115.478382
2156.0,1413,1116.744117
1494.0,832,1120.47002
1507.0,930,1121.583452
1365.0,1095,1449.471298
1824.0,1009,1453.343398
2062.0,1420,1459.339749
2928.0,1945,1462.498414
1100.0,808,1466.750129
1404.0,655,1469.622832
1811.0,785,1796.31587
1915.0,799,1800.9509
1331.0,521,1804.737801
2326.0,1309,1812.497984
1533.0,855,1814.979566
1477.0,788,1817.491679
2458.0,3220,1823.113661
1370.0,785,2150.47496
1521.0,657,2151.063576
1412.0,588,2160.169003
2152.0,948,2161.115169
1944.0,884,2164.02131
1406.0,665,2170.314563
928.0,439,2170.804928
2212.0,1127,2178.409341
1751.0,825,2504.626323
1475.0,813,2513.100711
2166.0,1452,2515.479103
3143.0,3882,2518.234293
1677.0,977,2520.896355
1376.0,719,2525.118493
1958.0,921,2531.031344
1532.0,764,2533.721461
2002.0,1153,2879.400668
1363.0,999,2883.447563
2034.0,952,2890.8348
1601.0,979,2894.928828
1954.0,858,2897.092211
1818.0,731,2902.67181
1345.0,525,2903.490045
1602.0,1038,3253.502381
1373.0,833,3255.718518
2198.0,896,3257.652088
2410.0,3125,3263.193537
1715.0,584,3265.495708
1481.0,827,3267.343522
1891.0,863,3272.043892
1086.0,551,3276.561156
2031.0,794,3278.792897
2348.0,970,3279.464844
1361.0,633,3282.643402
1315.0,558,3631.950813
1824.0,807,3638.234253
1338.0,522,3640.496972
1931.0,866,3642.945863
3472.0,1181,3644.837552
1468.0,634,3648.41061
1311.0,520,3648.850265
1372.0,689,3654.078117
1762.0,734,3656.83412
1352.0,797,3661.864092
2500.0,1049,4006.81877
1778.0,702,4006.820835
3074.0,935,4013.53417
2142.0,714,4015.112511
2170.0,784,4019.89588
1115.0,551,4022.740669
2440.0,954,4022.823459
2054.0,885,4029.684269
1357.0,598,4029.805119
1324.0,583,4032.269665
1303.0,545,4038.462055
2020.0,622,4384.34898
3316.0,1248,4387.615847
1751.0,809,4390.078309
1544.0,558,4392.386616
1479.0,535,4396.444255
1835.0,781,4397.182299
1363.0,590,4399.815931
2010.0,825,4406.005503
1099.0,592,4406.234634
2118.0,745,4409.55522
2087.0,762,4412.500056
2013.0,761,4757.367565
2286.0,767,4757.698129
1386.0,651,4761.941904
2575.0,896,4763.11082
1048.0,619,4767.558903
1482.0,565,4772.53102
2344.0,900,4772.662804
1394.0,641,4778.280949
1363.0,511,4781.035561
1347.0,521,4786.566382
2919.0,1050,5132.771403
2627.0,970,5140.085397
2212.0,814,5143.304611
1696.0,719,5144.707629
1617.0,2806,5151.181124
1542.0,533,5151.904913
2063.0,610,5154.535098
3026.0,990,5156.239744
1150.0,522,5159.795125
1413.0,626,5162.143625
1518.0,628,5512.244879
2853.0,929,5515.677261
1336.0,493,5520.665043
2218.0,795,5521.312751
596.0,353,5521.705244
1337.0,514,5529.194434
1796.0,609,5531.797259
1756.0,697,5532.833506
1745.0,517,5537.726778
1492.0,603,5541.761287
2267.0,694,5544.365756
1450.0,560,5895.685698
2338.0,2745,5899.739984
1521.0,563,5902.178277
